Tenant,ANP,VRF,BridgeDomain,EPG,Pod,Node,IPG,IP,MAC,VLAN
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.12,B0:26:28:EE:DC:DC,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.21,00:60:16:A9:13:84,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.13,B0:26:28:EE:C0:CC,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.7,00:0C:29:52:21:09,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.2,00:0C:29:52:21:09,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.6,00:0C:29:54:42:BE,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.1,00:0C:29:54:42:BE,vlan-2942
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_DB,EPG_DC_AAG_DB,pod-1,protpaths-1305-1306,IPG_VPC_DC_AAG_Server5,172.26.130.34,30:E9:8E:FF:8A:F0,vlan-2634
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_DB,EPG_DC_AAG_DB,pod-1,protpaths-1305-1306,IPG_VPC_DC_AAG_Server4,172.26.130.33,30:E9:8E:FF:89:40,vlan-2634
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_WEB,EPG_DC_AAG_WEB,pod-1,protpaths-1305-1306,IPG_VPC_DC_AAG_Server1,172.29.22.68,00:0C:29:E1:37:A2,vlan-2944
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_WEB,EPG_DC_AAG_WEB,pod-1,protpaths-1305-1306,IPG_VPC_DC_AAG_Server3,172.29.22.67,00:50:56:A0:3B:A9,vlan-2944
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_WEB,EPG_DC_AAG_WEB,pod-1,protpaths-1305-1306,IPG_VPC_DC_AAG_Server2,172.29.22.66,00:0C:29:EC:2D:82,vlan-2944
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_WEB,EPG_DC_AAG_WEB,pod-1,protpaths-1305-1306,IPG_VPC_DC_AAG_Server2,172.29.22.65,00:0C:29:31:8C:72,vlan-2944
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_APP,EPG_DC_AAG_APP,pod-1,protpaths-1305-1306,IPG_VPC_DC_AAG_Server1,172.26.130.67,00:0C:29:DE:B6:3F,vlan-2635
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_APP,EPG_DC_AAG_APP,pod-1,protpaths-1305-1306,IPG_VPC_DC_AAG_Server3,172.26.130.66,00:0C:29:1F:EA:CA,vlan-2635
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_APP,EPG_DC_AAG_APP,pod-1,protpaths-1305-1306,IPG_VPC_DC_AAG_Server1,172.26.130.70,00:50:56:A0:29:E3,vlan-2635
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_APP,EPG_DC_AAG_APP,pod-1,protpaths-1305-1306,IPG_VPC_DC_AAG_Server2,172.26.130.65,00:0C:29:17:14:5E,vlan-2635
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_ESXi,EPG_DC_AAG_ESXi,pod-1,protpaths-1301-1302,IPG_VPC_DC_SR2_ACI3650STACK,172.26.130.17,30:E9:8E:FF:85:92,vlan-2633
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_ESXi,EPG_DC_AAG_ESXi,pod-1,protpaths-1301-1302,IPG_VPC_DC_SR2_ACI3650STACK,172.26.130.19,30:E9:8E:FF:89:3B,vlan-2633
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_ESXi,EPG_DC_AAG_ESXi,pod-1,protpaths-1301-1302,IPG_VPC_DC_SR2_ACI3650STACK,172.26.130.18,30:E9:8E:FF:88:FE,vlan-2633
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_ESXi,EPG_DC_AAG_ESXi,pod-1,protpaths-1301-1302,IPG_VPC_DC_SR2_ACI3650STACK,172.26.130.20,00:0C:29:DB:7E:D5,vlan-2633
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_MGT,EPG_DC_AAG_MGT,pod-1,protpaths-1301-1302,IPG_VPC_DC_SR2_ACI3650STACK,172.26.130.2,30:E9:8E:FF:88:F9,vlan-2632
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_MGT,EPG_DC_AAG_MGT,pod-1,protpaths-1301-1302,IPG_VPC_DC_SR2_ACI3650STACK,172.26.130.3,30:E9:8E:FF:89:36,vlan-2632
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_MGT,EPG_DC_AAG_MGT,pod-1,protpaths-1301-1302,IPG_VPC_DC_SR2_ACI3650STACK,172.26.130.1,30:E9:8E:FF:85:8D,vlan-2632
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_MGT,EPG_DC_AAG_MGT,pod-1,protpaths-1301-1302,IPG_VPC_DC_SR2_ACI3650STACK,172.26.130.5,30:E9:8E:FF:8A:ED,vlan-2632
BAAC_DC,ANP_AAG,VRF_DC,BD_DC_AAG_MGT,EPG_DC_AAG_MGT,pod-1,protpaths-1301-1302,IPG_VPC_DC_SR2_ACI3650STACK,172.26.130.4,30:E9:8E:FF:89:3D,vlan-2632
BAAC_DC,ANP_SG,VRF_DC,BD_DC_SG_FW_EXT,MAC,pod-1,protpaths-1101-1102,IPG_VPC_DC_FW2,172.26.212.4,10:C1:72:E8:B3:A0,vlan-402
BAAC_DC,ANP_SG,VRF_DC,BD_DC_SG_FW_EXT,MAC,pod-1,protpaths-1101-1102,IPG_VPC_DC_FW1,172.26.212.5,10:C1:72:E8:B3:AD,vlan-402
BAAC_DC,ANP_SG,VRF_DC,BD_DC_SG_FW_EXT,MAC,pod-1,protpaths-1101-1102,IPG_VPC_DC_FW2,172.26.212.6,00:00:5E:00:01:67,vlan-402
BAAC_DC,ANP_SG,VRF_DC,BD_DC_SERVICE_B,EPG_DC_SERVICE_B,pod-1,protpaths-1105-1106,IPG_VPC_DC_FI_A,172.26.202.1,00:50:56:BD:E2:A5,vlan-515
BAAC_DC,ANP_SG,VRF_DC,BD_DC_SERVICE_A,EPG_DC_SERVICE_A,pod-1,protpaths-1105-1106,IPG_VPC_DC_FI_B,172.26.201.1,00:50:56:BD:31:B2,vlan-516
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.80,00:A0:98:F4:52:92,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.81,00:A0:98:F4:5F:DC,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.72,88:94:71:5D:9D:90,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.82,00:A0:98:F4:52:94,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.68,38:68:DD:1C:0C:CD,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.74,08:94:EF:A3:06:D5,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.67,38:68:DD:1C:0C:A5,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.71,88:94:71:B6:59:E0,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.65,1C:9C:8C:65:D6:01,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.79,00:A0:98:F4:5F:DA,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.78,00:A0:98:F4:5F:DA,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.70,38:68:DD:1B:A6:D5,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.66,78:4F:9B:8B:AF:D6,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.77,08:94:EF:9F:34:C0,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.75,08:94:EF:A3:05:11,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.69,38:68:DD:1B:AC:0D,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_OOB,EPG_DC_Nutanix_OOB,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_MGT,172.26.102.76,08:94:EF:9F:34:BC,vlan-2645
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_MGT,EPG_DC_Nutanix_MGT,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.42,38:68:DD:1B:AC:08,vlan-2644
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_MGT,EPG_DC_Nutanix_MGT,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.40,38:68:DD:1C:0C:A0,vlan-2644
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_MGT,EPG_DC_Nutanix_MGT,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.43,38:68:DD:1B:A6:D0,vlan-2644
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_MGT,EPG_DC_Nutanix_MGT,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.41,38:68:DD:1C:0C:C8,vlan-2644
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_MGT,EPG_DC_Nutanix_MGT,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.34,50:6B:8D:33:5B:FE,vlan-2644
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_MGT,EPG_DC_Nutanix_MGT,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.36,50:6B:8D:33:5B:FE,vlan-2644
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_MGT,EPG_DC_Nutanix_MGT,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.33,50:6B:8D:33:5B:FE,vlan-2644
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_MGT,EPG_DC_Nutanix_MGT,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.35,00:0C:29:A1:A8:B9,vlan-2644
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_MGT,EPG_DC_Nutanix_MGT,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.38,50:6B:8D:60:7C:49,vlan-2644
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_MGT,EPG_DC_Nutanix_MGT,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.39,50:6B:8D:99:E9:14,vlan-2644
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_MGT,EPG_DC_Nutanix_MGT,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.37,50:6B:8D:86:F2:39,vlan-2644
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_ESXi,EPG_DC_Nutanix_ESXi,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.3,08:94:EF:9F:41:3D,vlan-2643
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_ESXi,EPG_DC_Nutanix_ESXi,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.4,08:94:EF:9F:41:41,vlan-2643
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_ESXi,EPG_DC_Nutanix_ESXi,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.25,00:0C:29:F9:C4:5C,vlan-2643
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_ESXi,EPG_DC_Nutanix_ESXi,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.2,08:94:EF:A3:0C:E0,vlan-2643
BAAC_DC,ANP_NUTANIX,VRF_DC,BD_DC_Nutanix_ESXi,EPG_DC_Nutanix_ESXi,pod-1,protpaths-1401-1402,IPG_VPC_DC_NUTANIX_PRD,172.26.102.1,08:94:EF:A3:0E:A4,vlan-2643
BAAC_DC,ANP_NW_SERVICE,VRF_DC,BD_DC_NW_SERVICE,uEPG_DC_NET_SERVICE,pod-1,protpaths-1105-1106,IPG_VPC_DC_FI_B,172.26.101.12,00:50:56:BD:A2:3D,vlan-506
BAAC_DC,ANP_NW_SERVICE,VRF_DC,BD_DC_NW_SERVICE,uEPG_DC_NET_SERVICE,pod-1,protpaths-1105-1106,IPG_VPC_DC_FI_B,172.26.101.11,00:50:56:BD:E3:49,vlan-506
BAAC_DC,ANP_NW_SERVICE,VRF_DC,BD_DC_NW_SERVICE,EPG_DC_NET_SERVICE,pod-1,protpaths-1105-1106,IPG_VPC_DC_FI_B,172.26.101.3,00:50:56:BD:1A:CB,vlan-506
BAAC_DC,ANP_NW_SERVICE,VRF_DC,BD_DC_NW_SERVICE,EPG_DC_NET_SERVICE,pod-1,protpaths-1105-1106,IPG_VPC_DC_FI_B,172.26.101.200,00:50:56:BD:A2:0A,vlan-506
BAAC_MDR1,ANP_MDR1,VRF_MDR1_INT_FMIS_2,BD_MDR1_FMIS_DEV,EPG_MDR1_FMIS_DEV,pod-2,protpaths-2509-2510,IPG_VPC_MDR1_FMIS_SW,172.31.11.133,00:21:28:C1:DC:82,vlan-1128
BAAC_MDR1,ANP_MDR1,VRF_MDR1_INT_FMIS_2,BD_MDR1_FMIS_DEV,EPG_MDR1_FMIS_DEV,pod-2,protpaths-2509-2510,IPG_VPC_MDR1_FMIS_SW,172.31.11.129,00:0B:5D:E0:A4:AD,vlan-1128
BAAC_MDR1,ANP_MDR1,VRF_MDR1_INT_FMIS_2,BD_MDR1_FMIS_DEV,EPG_MDR1_FMIS_DEV,pod-2,protpaths-2509-2510,IPG_VPC_MDR1_FMIS_SW,172.31.11.131,00:21:28:C1:DF:20,vlan-1128
BAAC_MDR1,ANP_MDR1,VRF_MDR1_INT_FMIS_2,BD_MDR1_FMIS_DEV,EPG_MDR1_FMIS_DEV,pod-2,protpaths-2509-2510,IPG_VPC_MDR1_FMIS_SW,172.31.11.196,00:30:8C:1A:5F:6A,vlan-1128
